0.5A 2R left 2cm 霍尔电流 5.00mA		0.5A 2R left 4cm 霍尔电流 5.00mA		0.5A 2R left 6cm 霍尔电流 5.00mA		0.5A 2R left 8cm 霍尔电流 5.00mA		0.5A R left 2cm 霍尔电流 5.00mA		0.5A R left 4cm 霍尔电流 5.00mA		0.5A R left 6cm 霍尔电流 5.00mA		0.5A left 8cm 霍尔电流 5.00mA		0.5A 0.5R left 2cm 霍尔电流 5.00mA		0.5A 0.5R left 4cm 霍尔电流 5.00mA		0.5A 0.5R left 6cm 霍尔电流 5.00mA		0.5A 0.5R left 8cm 霍尔电流 5.00mA		2R		R		0.5R		B&I +2.5cm left 8cm		B&I +0cm left 0cm		B&I -1cm right 4cm		B&I -1cm right 4cm	
-0.3	0.9	-0.3	0.89	-0.3	0.8	-0.3	0.65	3	1.91	3	1.95	3	2.03	3	2.07	0.3	2.48	0.3	2.61	0.3	2.83	0.3	3.04	7.5	1.36	11	1.06	7.5	1.43								
0	0.92	0	0.89	0	0.79	0	0.65	4	1.88	4	1.95	4	2.12	4	2.47	0.6	2.47	0.6	2.6	0.6	2.83	0.6	3.07	9	1.44	13	0.8	8.5	1.25								
0.3	0.91	0.3	0.89	0.3	0.8	0.3	0.65	5	1.83	5	1.91	5	2.14	5	2.77	1	2.46	1	2.58	1	2.82	1	3.14	9.5	1.45	15	0.61	9.5	1.09								
0.6	0.92	0.6	0.9	0.6	0.8	0.6	0.65	6	1.75	6	1.82	6	2.04	6	2.62	1.5	2.43	1.5	2.56	1.5	2.8	1.5	3.24	10	1.46	17	0.46	11.5	0.81								
1	0.94	1	0.9	1	0.81	1	0.66	7	1.63	7	1.7	7	1.86	7	2.13	2	2.39	2	2.52	2	2.76	2	3.33	10.5	1.45	19	0.35	13.5	0.61								
1.5	0.94	1.5	0.92	1.5	0.82	1.5	0.67	8	1.49	8	1.52	8	1.58	8	1.63	2.5	2.33	2.5	2.47	2.5	2.7	2.5	3.31	11	1.43			16.5	0.4								
2	0.97	2	0.94	2	0.84	2	0.69	9	1.34	9	1.35	9	1.35	9	1.28	3	2.28	3	2.4	3	2.62	3	3.19	12	1.37												
2.5	0.99	2.5	0.96	2.5	0.87	2.5	0.72	10	1.19	10	1.17	10	1.16	10	1.02	4	2.12	4	2.21	4	2.39	4	2.66	13	1.29												
3	1.04	3	0.99	3	0.91	3	0.75	11	1.04	11	1.02	11	0.96	11	0.83	5	1.93	5	2.01	5	2.09	5	2.09	14	1.18												
4	1.11	4	1.07	4	1	4	0.83	12	0.91	12	0.88	12	0.81	12	0.69	6	1.75	6	1.78	6	1.8	6	1.62	15	1.06												
5	1.19	5	1.18	5	1.12	5	0.96	13	0.78	13	0.75	13	0.69	13	0.58	7	1.54	7	1.55	7	1.15	7	1.26	16.5	0.88												
6	1.28	6	1.29	6	1.27	6	1.17	14	0.67	14	0.64	14	0.58	14	0.49	8	1.35	8	1.33	8	1.26	8	1.04	18	0.72												
7	1.37	7	1.39	7	1.44	7	1.46	15	0.57	15	0.55	15	0.5	15	0.43	9	1.17	9	1.14	9	1.07	9	0.85	20	0.54												
8	1.43	8	1.49	8	1.62	8	1.86	16	0.49	16	0.48	16	0.43	16	0.36	10	1.01	10	0.98	10	0.89	10	0.73														
9	1.47	9	1.54	9	1.74	9	2.23	17	0.43	17	0.41	17	0.36	17	0.32	11	0.87	11	0.83	11	0.77	11	0.61														
9.5	1.46		1.54		1.76		2.32	18	0.37	18	0.35	18	0.32	18	0.27	12	0.74	12	0.72	12	0.65	12	0.53														
10	1.47	10	1.55	10	1.77	10	2.39	19	0.32	19	0.3	19	0.28	19	0.24	13	0.64	13	0.61	13	0.55	13	0.46														
10.5	1.44		1.54		1.76		2.33									14	0.55	14	0.53	14	0.48	14	0.39														
11	1.42	11	1.5	11	1.7	11	2.15									15	0.47	15	0.45	15	0.41	15	0.34														
12	1.34	12	1.41	12	1.53	12	1.74									16	0.4	16	0.39	16	0.35	16	0.3														
13	1.24	13	1.28	13	1.34	13	1.36									17	0.35	17	0.34	17	0.31	17	0.26														
14	1.11	14	1.14	14	1.14	14	1.06									18	0.3	18	0.29	18	0.27	18	0.23														
15	0.99	15	1	15	0.97	15	0.86									19	0.27	19	0.25	19	0.23	19	0.2														
16	0.87	16	0.86	16	0.81	16	0.71																														
17	0.76	17	0.74	17	0.7	17	0.59																														
18	0.65	18	0.64	18	0.59	18	0.49																														
19	0.56	19	0.55	19	0.5	19	0.42																														
